===== Final evaluation scores =====
Model: SAS-Qwen3-14B-RL
Evaluation: sas-self-rl-test30
Overall test problems: 1352
Overall correct: 817
Overall weighted pass@1: 0.604290
Overall macro-language pass@1: 0.625510

root_dataset	language	test_count	correct_count	pass@1
humaneval	cpp	49	34	0.693878
humaneval	cs	49	32	0.653061
humaneval	java	49	31	0.632653
humaneval	js	49	37	0.755102
humaneval	php	49	35	0.714286
humaneval	py	49	41	0.836735
humaneval	sh	49	15	0.306122
humaneval	ts	49	40	0.816327
mbpp	cpp	120	78	0.650000
mbpp	cs	120	75	0.625000
mbpp	java	120	78	0.650000
mbpp	js	120	70	0.583333
mbpp	php	120	71	0.591667
mbpp	py	120	79	0.658333
mbpp	sh	120	21	0.175000
mbpp	ts	120	80	0.666667
